mass,year,mint,condition
3.05,1964,1,1
2.98,1960,4,2
2.69,2009,4,1
3.05,1976,3,2
3.23,1965,2,1
3,1980,4,1
3.02,1962,3,2
3.04,1968,2,1
2.74,2005,3,2
2.9,1980,1,2
3.12,1961,2,2
2.83,1967,4,2
3.12,1962,2,2
2.8,1976,1,1
2.72,2011,1,2
2.94,1972,4,1
2.99,1976,3,2
3.09,1970,4,2
2.68,2013,2,1
3.16,1973,2,2
2.97,1968,4,2
2.83,1976,2,2
3.27,1968,3,1
3.1,1967,2,1
2.61,2012,4,1
2.85,1969,2,1
2.62,1992,3,1
3.02,1962,4,1
2.89,1971,1,2
2.94,1961,4,1
2.56,2001,2,1
2.82,1978,3,2
2.89,1980,4,2
2.77,2015,4,1
3.27,1979,3,1
2.85,1963,4,2
2.97,1981,2,2
2.41,2009,4,1
2.86,1976,3,2
3.11,1969,3,1
2.89,1974,2,2
2.73,1992,2,1
2.79,2013,1,1
3.07,1971,2,1
2.9,1979,1,2
2.64,2000,1,2
2.85,1972,2,2
3.04,1962,2,1
2.92,1967,4,1
3.13,1968,3,2
2.5,1991,3,1
2.63,1993,4,2
3.46,1981,1,2
3.32,1970,4,2
3.25,1981,4,1
2.84,1979,1,2
2.93,1975,1,2
2.86,1965,4,1
2.62,2008,4,1
3.08,1961,3,1
2.47,2003,3,2
3.2,1980,1,1
3.03,1973,4,2
2.98,1964,1,1
2.99,1961,2,2
2.82,1974,4,1
2.89,1964,3,2
2.86,1962,1,2
2.38,2012,2,2
3.08,1978,2,1
3.08,1966,3,2
3.04,1979,3,2
2.83,1961,2,1
2.56,1993,1,2
3.54,1980,4,2
2.9,1963,1,1
2.84,1968,3,1
3.13,1966,3,2
2.52,2003,3,1
3.18,1974,2,1
3.03,1961,3,2
3.1,1963,3,2
2.76,1997,2,2
2.53,1984,4,2
2.66,1993,3,1
2.5,2004,2,1
3.09,1977,1,2
2.5,1983,2,1
2.91,1979,1,2
2.92,1971,1,1
2.85,1982,3,1
2.43,2013,4,1
2.99,1975,2,2
3.3,1975,2,2
2.39,2001,4,2
3.07,1961,1,2
3.02,1970,3,2
2.98,1965,1,2
2.41,2004,4,2
3.23,1961,3,1
3.09,1961,3,2
3.52,1969,1,2
2.72,1982,4,2
3.18,1961,1,2
2.9,1960,4,2
2.65,1994,4,2
3.1,1973,3,2
2.39,1988,3,1
3.09,1979,4,1
2.5,2005,1,1
2.62,2016,1,1
2.39,1985,4,2
2.38,2014,4,1
2.53,2003,2,2
3.2,1967,2,2
2.43,1986,1,2
2.77,2001,1,1
2.49,2017,2,2
3,1981,4,1
3.14,1970,4,1
2.87,1975,3,1
2.96,1969,1,1
3.03,1972,4,1
3.04,1965,3,1
3.39,1967,1,2
3.25,1966,2,2
3.09,1963,2,2
3.18,1976,4,2
3.15,1970,3,1
2.26,1987,2,1
2.93,1969,2,1
3.16,1971,3,2
3.22,1967,3,1
2.99,1976,2,1
2.63,2003,1,1
2.89,1960,1,1
3.01,1971,2,1
3.09,1967,4,1
3.14,1977,1,2
2.68,1983,1,2
3.16,1972,3,2
2.87,1976,3,2
3.03,1975,4,2
3.03,1982,3,1
2.81,1962,2,1
2.69,1987,3,2
3.19,1972,2,2
3.29,1974,2,2
3.22,1974,2,1
2.57,1982,4,2
2.8,1981,4,1
2.5,2016,4,1
3.2,1969,2,1
2.84,1977,3,1
3.18,1978,1,1
2.76,2020,3,2
2.78,1992,2,2
3.03,1978,3,2
2.65,1988,3,2
2.65,2004,4,1
2.69,1994,2,2
3.06,1981,4,2
3.02,1977,1,2
2.55,2007,3,2
2.52,2000,3,2
2.39,1989,3,1
2.86,1966,2,2
3.04,1974,3,1
3.29,1961,1,2
2.74,1991,3,1
3,1967,3,2
3.08,1980,4,2
3.19,1970,2,2
2.55,1996,2,2
2.97,1963,2,1
2.88,1972,1,1
2.85,1963,3,1
3.11,1981,3,2
3.2,1960,1,2
2.91,1972,4,2
2.7,1983,2,2
2.95,1973,2,1
2.26,2019,2,2
2.91,1978,2,2
2.64,1989,1,2
2.45,1982,4,2
2.93,1960,4,1
3.1,1964,2,2
3.24,1961,1,1
3.06,1961,2,1
2.68,1987,2,1
2.64,2008,3,2
2.83,1981,4,2
3.31,1981,1,2
2.94,1974,3,1
3.23,1977,3,2
2.93,1964,1,2
2.54,1998,4,2
2.54,2016,3,1
2.32,1997,4,2
3.13,1961,3,2
2.8,1960,4,1
2.75,1995,2,2
2.55,2002,4,2
3.03,1966,2,1
2.88,1968,4,1
3.22,1977,1,2
3.55,1970,3,1
3.26,1982,4,2
3.35,1960,2,1
2.98,1976,4,2
3.23,1979,4,1
2.52,2014,3,2
2.36,1991,3,2
2.91,1975,4,1
2.55,1985,3,1
2.5,1994,2,2
3.42,1973,3,2
2.77,1990,1,2
3.08,1979,2,1
2.83,1965,2,2
3,1969,3,2
3.4,1977,4,1
2.91,1968,4,1
2.84,1967,3,2
2.79,1985,3,2
3.03,1974,1,1
3.08,1965,3,1
2.69,1999,3,1
3.1,1982,2,2
2.45,1994,1,1
3.07,1963,2,1
2.46,2015,2,2
3.13,1965,3,2
3.1,1960,1,1
2.91,1977,4,2
2.76,2003,2,1
3,1976,1,2
3.15,1974,4,2
2.81,1979,4,2
3.09,1961,2,2
2.81,1978,1,2
2.98,1968,2,1
3.26,1982,3,2
2.84,1972,3,1
3.22,1978,4,1
2.59,1994,3,2
3.14,1962,1,1
2.84,1977,4,1
3.2,1977,2,2
3.01,1973,3,1
2.92,1967,3,2
3.09,1974,1,1
2.76,1983,3,1
2.85,1968,4,1
2.85,1972,3,2
3.24,1982,3,1
3.13,1965,3,2
3.01,1979,1,1
3.27,1962,1,1
3.04,1968,1,1
2.58,2008,2,2
3.04,1977,2,1
2.97,1964,3,2
2.57,2007,3,2
3.15,1974,3,1
2.57,1984,3,1
3.07,1963,1,1
3.37,1981,2,2
3.1,1980,4,1
2.88,1961,1,2
3.06,1967,2,1
2.93,1976,4,2
2.69,1984,3,1
2.5,1994,4,2
3.11,1970,3,2
2.52,1990,1,2
2.56,1999,1,2
3.22,1976,4,2
2.43,2007,4,2
3.07,1980,2,2
2.88,1981,2,1
2.93,1982,3,2
2.96,1960,2,1
2.5,2012,2,1
3.01,1965,3,1
2.58,2017,3,2
3.13,1974,2,1
3.02,1962,3,2
3.26,1967,1,1
2.9,1975,3,2
2.93,1963,3,2
2.93,1967,2,2
2.55,2017,2,2
3.12,1964,1,2
3.31,1974,4,2
3.33,1964,2,1
2.94,1968,1,2
3,1972,4,2
2.78,2010,4,2
2.85,1962,2,1
3.01,1964,4,1
2.81,1977,1,2
2.59,1998,4,2
3.07,1968,4,1
2.83,1976,2,1
3.08,1977,4,2
2.66,2015,1,2
3.02,1969,1,2
3.27,1966,4,2
2.9,1981,3,2
2.77,2012,1,1
3.34,1968,2,1
3.22,1971,3,2
3.1,1971,3,2
3.08,1970,2,2
2.4,2014,3,1
2.61,1987,2,2
3.16,1978,3,1
3.05,1969,1,1
2.59,1987,2,2
3.17,1968,4,1
3.06,1970,1,2
2.91,1973,1,1
2.82,1968,1,2
2.64,2000,3,1
3.28,1977,1,1
2.94,1981,1,1
2.78,1982,3,2
3.14,1978,3,2
2.47,2005,1,1
2.75,1991,4,2
2.83,1969,3,1
2.53,2007,3,2
3.13,1977,2,2
3,1965,2,2
2.44,1996,1,1
3.12,1970,4,2
3.02,1964,3,2
2.98,1960,3,1
3.02,1981,1,2
3.02,1964,1,2
2.39,1984,3,2
2.93,1962,4,1
3.42,1974,1,2
3.2,1970,4,1
2.51,2013,4,1
3.51,1968,4,1
2.95,1971,3,1
2.62,1999,2,1
2.48,1995,2,2
2.43,2004,2,2
2.89,1971,3,1
2.42,1985,3,1
3.08,1979,1,2
3.06,1975,2,2
3.18,1974,4,1
2.5,1998,2,1
2.83,1977,2,1
2.94,1977,1,1
3.14,1977,2,2
2.87,1975,4,2
3.23,1972,2,2
2.63,1999,1,2
3.18,1965,4,2
2.62,1982,3,1
3.05,1960,1,1
2.57,1994,1,2
3.32,1979,2,1
3.13,1980,3,2
2.42,1988,1,1
3.34,1969,1,1
3.18,1967,3,1
2.66,2019,3,1
3.11,1982,2,1
2.69,1988,2,2
2.9,1964,2,1
2.64,2004,3,1
2.59,1986,3,1
3.02,1970,3,2
3.03,1968,3,2
3.08,1975,2,1
3.2,1964,3,2
3.15,1979,4,2
2.64,2013,3,1
2.91,1965,3,2
2.61,2010,1,1
3.01,1982,4,2
2.68,1995,1,2
3.04,1967,3,1
2.54,2015,3,2
3.35,1963,4,2
3.22,1977,2,1
2.8,1982,3,1
2.63,1998,3,1
3.31,1976,4,2
3.39,1965,3,2
2.59,2018,3,1
3.41,1979,3,2
3.17,1980,4,1
2.76,2019,4,1
2.61,2011,3,2
2.37,1990,2,2
2.59,2013,4,2
2.93,1961,1,1
3.39,1973,3,2
2.97,1977,4,1
3.22,1966,2,2
2.72,2003,2,2
3.12,1978,1,2
2.82,1980,3,2
3.02,1978,3,2
2.56,1999,1,1
2.42,2003,3,1
3.18,1965,1,2
2.85,1964,3,2
2.67,1986,2,1
3.67,1980,4,1
2.36,1993,1,1
3.18,1972,3,1
2.61,2018,4,2
2.94,1975,4,2
2.92,1964,3,1
2.95,1977,3,1
2.82,1961,1,1
2.3,2007,1,2
3.29,1972,3,2
2.79,1982,2,1
2.91,1964,4,1
2.82,1973,3,2
3.04,1964,4,1
3.23,1963,3,1
2.48,1993,3,1
2.96,1970,1,1
3.1,1982,2,1
3.01,1967,2,2
2.56,2001,3,2
2.43,2009,1,2
3.41,1963,4,2
3,1966,3,1
2.51,2020,1,2
2.7,2014,3,2
2.49,2000,4,1
3.29,1962,4,1
3.16,1979,1,1
3,1973,4,1
2.52,2004,3,1
3,1970,3,1
3.11,1970,3,1
2.65,1991,2,2
3.33,1967,2,2
2.97,1974,2,1
3.27,1965,2,1
2.45,2005,2,1
2.97,1966,2,2
3.14,1970,1,1
2.91,1969,3,2
2.99,1968,2,2
3.22,1968,4,1
3.05,1979,2,1
2.8,1976,4,2
2.36,1994,3,1
2.8,1968,3,1
2.96,1980,4,2
3.29,1972,4,2
3.06,1980,1,1
3.25,1977,1,2
3.14,1971,4,2
3,1973,4,2
2.58,2007,1,2
2.85,1967,3,1
2.71,1985,1,2
2.95,1982,4,1
2.98,1981,3,1
3.07,1966,2,1
3.12,1981,3,1
2.72,1982,1,2
3.3,1982,1,1
3.13,1979,2,1
3.41,1982,1,1
2.95,1976,3,2
2.94,1971,3,1
3.12,1979,3,1
3.09,1961,4,2
3.22,1963,1,2
2.89,1978,1,2
2.7,2004,4,2
2.99,1964,3,2
3.12,1974,1,2
2.84,1968,4,1
3,1976,2,2
2.87,1977,2,1
3.07,1971,3,2
2.97,1976,3,2
3.36,1982,4,2
2.99,1975,2,1
2.74,2000,3,2
3.05,1973,4,2
3.43,1965,2,2
3.25,1977,3,2
3.04,1971,3,1
2.37,1995,3,1
3.11,1974,2,2
3.01,1975,2,1
2.67,2010,4,1
2.29,1988,3,1
2.5,2017,3,1
3.34,1960,2,2
3.24,1978,1,2
2.92,1976,2,2
2.74,2010,3,2
3.26,1979,1,1
2.85,1974,3,1
3.15,1981,1,1
3.13,1979,4,1
3.22,1961,1,1
2.96,1973,1,1
2.94,1977,4,2
2.51,2013,3,1
2.89,1960,4,2
2.7,1995,4,1
3.01,1977,2,1
3.02,1963,3,2
3.27,1982,1,1
2.67,2011,4,2
3.26,1979,2,1
3.26,1962,2,1
2.5,2001,1,2
2.69,1988,3,2
2.98,1977,3,2
3.14,1968,3,2
3.09,1962,2,1
2.79,2004,2,1
2.7,2008,2,1
2.83,1964,2,1
2.92,1967,2,2
2.83,1977,2,2
2.96,1971,4,2
2.45,2009,3,2
3.22,1962,1,1
2.34,1988,1,1
2.73,1987,3,1
3.09,1980,4,1
2.75,2018,3,2
3.26,1963,1,1
3.05,1970,3,2
2.65,1999,1,1
2.91,1974,2,2
3,1967,1,2
2.82,1963,2,1
3.31,1966,2,2
3.15,1972,1,1
3.06,1978,1,2
3.28,1979,3,1
3,1971,1,2
3.17,1961,3,1
3.1,1978,1,1
3.13,1977,3,2
2.6,2004,2,2
2.84,1977,4,2
2.55,1994,1,1
2.99,1960,3,2
2.81,1971,3,2
2.89,1981,4,1
2.87,1971,1,1
2.75,1983,2,2
2.56,1987,3,2
3.29,1962,2,2
2.93,1960,4,2
2.58,2009,2,2
2.41,2002,2,1
3.09,1961,4,2
2.69,2013,3,1
2.81,1966,2,2
2.72,2013,4,2
3.31,1971,4,1
2.64,2018,1,2
2.5,1985,1,2
3.02,1966,2,2
3.03,1981,1,2
3.15,1975,3,1
3.28,1973,4,2
3.36,1969,1,1
3.1,1970,2,2
3.18,1960,1,2
3.13,1964,2,2
2.97,1981,1,1
2.93,1969,2,1
2.97,1960,2,2
2.45,1994,3,1
3.05,1982,2,2
3.27,1968,1,2
2.96,1961,2,2
2.97,1964,3,2
3.01,1960,2,2
2.85,1971,1,1
2.34,2016,3,2
3.3,1965,3,2
2.99,1970,3,1
3.25,1970,4,2
2.3,1986,2,1
2.98,1981,1,2
2.62,2012,1,2
2.83,1981,3,1
3.25,1966,3,1
2.96,1981,3,1
3.09,1966,1,1
3.16,1982,1,2
2.78,1992,3,1
3.13,1962,3,1
2.4,2016,2,2
2.67,2003,3,2
2.74,2012,2,1
2.39,2003,4,2
2.94,1975,3,1
3.17,1967,3,2
2.53,1984,2,2
2.7,1992,2,2
3.16,1980,2,2
3.17,1963,2,2
3.22,1961,1,1
2.87,1961,1,1
2.67,1987,3,1
3.1,1962,1,1
2.66,2014,1,1
2.59,1990,4,1
2.81,1981,4,1
2.73,2019,4,1
3.09,1960,4,1
2.92,1971,4,2
2.44,2015,4,1
2.55,1995,2,1
2.52,2014,1,2
3.15,1961,4,2
3.01,1975,4,2
3.1,1971,4,2
2.38,1995,3,1
3,1978,4,1
2.87,1979,4,2
2.81,1963,2,2
3.16,1961,2,1
3.01,1982,4,1
2.56,2009,2,1
2.72,2014,4,1
2.55,2006,3,2
2.88,1973,1,2
2.55,2007,2,2
3.02,1975,2,2
3.02,1978,2,2
2.93,1978,2,2
2.98,1975,3,1
2.87,1964,3,2
3.35,1961,3,1
2.79,2007,2,1
2.43,2011,2,2
3,1968,4,1
3.12,1972,4,1
2.75,2002,2,2
3.07,1981,1,2
3.03,1969,4,1
3.06,1973,4,2
2.77,2011,4,2
3.17,1964,4,1
2.65,1996,2,2
2.57,2014,3,1
3.07,1980,2,1
3.08,1977,4,2
3.11,1962,1,1
3.1,1967,2,2
2.53,2012,2,2
2.96,1973,4,1
2.6,1987,2,1
2.48,1987,4,1
2.52,1982,4,2
2.79,1986,3,2
2.77,2018,2,2
2.93,1962,2,2
2.44,2011,4,2
3.17,1972,2,2
2.65,2002,4,1
2.68,2010,4,1
2.46,1993,1,2
3.32,1960,1,1
2.95,1977,2,2
2.76,2002,2,1
2.68,1989,4,1
3.25,1967,2,1
3.14,1982,2,1
3.17,1961,4,1
2.97,1973,1,2
2.59,1996,1,1
2.46,2006,2,1
2.95,1964,1,1
3.21,1967,2,2
3.05,1976,3,2
3,1963,3,2
3.14,1975,3,1
2.63,2010,2,1
3.08,1974,2,2
3.16,1973,3,2
3.1,1961,2,2
2.74,2009,4,1
3.2,1966,1,2
3,1962,4,1
2.77,2015,4,1
2.67,2013,4,2
2.89,1976,4,1
3.05,1978,4,1
2.6,1994,1,2
2.98,1965,2,2
3.08,1970,1,2
2.82,1974,2,1
3.01,1961,4,1
3.28,1975,3,2
2.55,2019,1,2
3.11,1977,1,1
2.78,1985,1,2
2.72,1986,2,1
3.17,1969,2,2
3.39,1969,1,1
3.11,1960,4,2
2.44,2008,2,2
2.72,2019,4,1
2.66,1991,4,2
2.7,2009,3,2
3.08,1974,4,1
2.52,1985,2,2
2.92,1963,3,2
2.95,1963,2,2
3.19,1968,1,2
3,1960,3,1
3.15,1969,1,1
2.97,1978,1,1
3.12,1962,4,2
2.52,2001,2,2
3.15,1960,4,2
2.87,1981,4,2
2.45,1992,1,1
3.06,1982,2,2
2.84,1969,1,1
3.25,1965,4,1
3.21,1971,2,2
3.27,1974,1,2
2.67,2007,2,2
3.26,1965,2,1
2.95,1968,2,2
2.96,1981,3,2
3.2,1960,3,1
2.88,1977,3,2
2.69,1988,3,2
3.25,1980,2,1
2.55,1984,3,1
2.82,1969,2,2
2.68,2016,4,2
2.77,1996,3,1
3.25,1965,2,2
2.73,2014,2,1
2.33,1994,1,2
2.51,1984,3,2
2.97,1975,2,2
3.13,1975,1,1
2.76,1986,4,2
3.3,1982,3,2
2.61,1997,3,2
2.62,2006,3,2
3.09,1970,1,1
3.32,1969,1,2
3.45,1973,3,2
2.83,1968,4,1
2.61,2013,2,2
3.36,1981,2,2
2.92,1970,4,2
2.9,1970,2,1
2.11,1988,1,2
3.05,1968,1,2
3.09,1960,2,2
3.16,1967,2,1
3.02,1968,3,1
2.63,1993,4,2
3.17,1980,3,1
3.02,1965,1,1
3.11,1974,4,2
3.08,1978,3,1
2.88,1963,4,1
3.25,1963,3,2
2.83,1971,2,2
3.21,1963,3,2
2.68,2006,3,2
2.56,1996,2,2
2.87,1973,4,1
2.34,2020,4,2
2.38,2018,2,1
2.92,1982,1,1
3.42,1963,3,1
2.92,1971,2,2
2.34,1989,4,1
2.89,1979,1,1
2.81,1971,2,1
3.2,1968,2,1
3.29,1975,3,1
3.08,1982,4,2
2.9,1974,3,1
3.47,1971,3,1
2.63,2018,2,2
3.3,1968,2,2
3.38,1979,3,1
2.92,1966,3,1
2.61,1996,3,1
3.13,1962,4,1
3.04,1981,3,1
2.53,2014,2,1
3.23,1964,2,2
2.64,2007,4,1
2.93,1978,2,2
2.72,1987,2,2
3.22,1965,4,1
2.42,1993,1,2
2.64,1998,4,1
3.19,1960,1,2
2.47,1994,4,2
2.53,1990,3,2
2.97,1975,4,2
3.08,1962,2,1
3.03,1974,1,1
2.6,1997,2,2
2.39,1987,4,1
2.77,1988,2,2
3.21,1972,2,1
2.94,1979,1,2
2.98,1979,1,1
2.78,1984,4,1
2.47,2009,2,2
3.08,1978,1,2
2.95,1973,1,1
3.03,1972,2,1
3.08,1970,4,1
2.52,2004,3,1
3.11,1972,1,2
3.17,1965,3,2
2.87,1963,1,1
2.38,1984,3,2
3.05,1962,3,2
2.7,2009,2,2
2.59,1995,2,2
3.34,1970,2,2
2.87,1981,1,1
3.19,1962,2,2
3.18,1978,4,2
3.13,1978,3,2
2.49,1984,3,2
2.57,1991,2,2
2.69,1996,3,2
3.24,1980,4,2
3.08,1979,4,2
3.15,1968,3,1
2.31,2005,4,2
2.43,2010,1,1
2.66,1984,3,1
2.56,1994,3,1
2.45,1995,1,2
3.14,1962,3,1
2.8,1960,4,2
3.12,1979,3,1
3.16,1971,2,2
2.57,2019,2,2
2.96,1982,3,2
2.95,1975,3,1
2.95,1970,2,2
3.04,1965,3,2
3.02,1976,4,1
2.63,2013,4,2
2.87,1967,3,1
3.3,1980,1,1
2.95,1978,3,2
3.55,1975,4,1
3.04,1972,4,1
2.89,1971,1,1
3.21,1960,1,1
3.14,1970,1,2
2.76,1990,1,2
2.73,1999,1,2
2.5,1995,3,1
2.96,1969,3,1
3.05,1968,3,1
2.53,1993,4,1
2.41,1994,1,2
2.69,1999,2,2
3.28,1979,3,1
2.89,1962,1,2
2.93,1967,3,2
2.34,1987,3,1
2.64,1987,1,1
2.59,2004,2,1
3.35,1967,3,1
2.35,1985,2,2
3.19,1966,3,1
2.62,2008,4,1
3.1,1973,4,1
2.52,2018,2,1
2.7,2005,4,1
2.61,1989,3,2
2.81,1967,1,1
2.76,2011,2,1
2.99,1975,1,2
2.73,2019,2,1
3.06,1960,4,1
2.69,1995,2,1
2.58,2009,1,1
2.48,2005,4,2
2.64,1987,2,2
2.81,1966,3,1
2.85,1980,2,2
2.71,1983,1,2
2.62,2020,2,1
3.14,1966,2,1
2.93,1964,3,2
3.16,1974,4,1
2.85,1973,2,1
2.92,1981,2,2
3.34,1973,4,1
3.22,1971,3,2
2.79,1986,3,2
3.04,1967,4,2
2.9,1982,3,1
3.07,1961,2,1
2.34,2002,3,1
3.21,1965,2,1
3.1,1980,2,2
2.83,1975,4,1
3.11,1968,4,2
2.82,1980,1,2
2.99,1979,1,2
3.28,1979,2,2
3.55,1975,4,1
2.9,1962,1,2
3,1980,4,1
2.45,1994,3,1
2.92,1967,2,1
2.59,2015,1,1
2.4,2020,3,1
2.55,1983,2,1
2.81,1982,2,1
2.75,2017,3,2
3.02,1973,2,2
2.54,2014,2,2
2.84,1982,2,1
3.34,1962,4,2
2.73,2014,3,2
3,1975,1,1
2.82,1962,2,1
2.62,2011,1,2
2.95,1960,3,1
3.23,1976,4,1
3.25,1960,1,1
3.28,1978,1,1
2.94,1968,3,2
3.1,1982,4,1
2.41,1991,4,2
3.2,1977,3,1
2.9,1970,3,2
2.55,2007,3,1
3.01,1982,1,1
3.28,1960,3,1
3.09,1966,3,1
2.84,1975,2,1
2.96,1972,3,2
3.16,1981,4,1
3.01,1969,2,2
3.03,1978,1,1
2.99,1972,2,1
2.68,2015,3,1
2.56,1989,4,1
2.65,2003,2,1
2.79,2007,3,1
2.67,2016,1,2
2.58,1986,4,1
2.57,1991,1,1
3.2,1973,4,1
2.66,1982,1,2
3.09,1973,2,2
2.4,1990,4,1
2.82,1961,2,1
3.09,1961,4,2
3.2,1976,3,1
2.56,2018,4,1
2.97,1981,1,1
3,1974,1,2
3.25,1968,1,1
2.64,2008,3,2
2.43,2019,4,1
3.05,1967,3,1
3.12,1960,2,1
3.12,1965,4,2
2.83,1975,2,1
3.12,1968,2,1
2.95,1974,2,2
2.92,1976,4,1
2.96,1975,4,1
2.53,1989,4,2
3.21,1961,4,2
2.57,1994,1,1
3.26,1978,1,2
2.73,2002,3,1
2.87,1981,1,1
2.93,1969,2,2
3.01,1972,2,1
2.87,1976,1,2
2.61,1994,3,2
3.06,1977,1,1
2.69,1984,4,1
2.62,2010,1,2
2.55,2004,4,1
2.29,2010,2,1
3.21,1967,2,1
3.16,1961,3,2
2.46,2011,1,2
3.07,1978,4,2
3.21,1982,3,1
2.7,1999,1,1
3.1,1966,4,1
2.2,1996,1,2
2.65,1986,1,2
3.11,1971,2,1
3.1,1974,2,2
3.09,1978,4,2
3.28,1968,1,1
3.32,1961,1,1
2.87,1972,3,2
3.19,1969,4,1
2.73,2004,2,2
2.73,2009,1,1
2.65,1988,3,2
3.28,1973,3,1
2.79,2008,4,1
3.01,1962,4,1
2.66,1996,1,2
2.95,1982,3,2
3.27,1977,1,2
2.79,1991,4,1
3.13,1961,2,2
2.47,1985,4,1
2.9,1966,4,1
3.16,1973,2,2
2.86,1969,2,1
2.64,1999,3,1
3.25,1982,2,1
3.06,1969,3,2
2.48,2016,2,2
2.55,2000,4,1
3.07,1982,2,1
3.28,1981,2,1
3.21,1969,1,1
3.07,1979,3,2
3.18,1971,2,2
2.95,1971,1,2
2.6,2008,4,2
2.87,1962,1,1
2.58,1997,1,2
2.98,1978,3,2
2.86,1976,3,1
3.42,1977,1,1
3.26,1963,4,2
2.72,2009,1,1
2.27,1983,1,2
2.87,1981,4,1
3.09,1976,4,1
2.61,1994,3,1
3.12,1961,3,1
2.58,1991,3,2
2.8,1970,3,1
3.06,1978,2,2
3.11,1977,3,2
3,1977,2,2
2.97,1982,2,1
3.16,1972,3,1
2.56,2020,3,1
2.54,2001,2,1
2.61,2008,4,1
2.46,2001,1,2
2.99,1960,3,1
2.42,2003,4,2
2.83,1964,1,1
2.76,2003,4,2
3.25,1979,2,2
2.59,1990,3,2
2.83,1981,1,2
2.97,1965,2,1
3.07,1966,3,1
3.36,1971,2,1
2.82,1978,2,1
3.02,1979,1,1
2.86,1976,2,1
2.56,2008,4,1
2.57,1997,3,2
2.72,1993,4,2
2.61,1996,4,2
3.13,1971,1,1
3.18,1963,1,2
2.97,1972,3,1
2.95,1960,2,1
2.81,1976,1,1
3.02,1976,4,2
3.23,1964,4,2
2.96,1982,2,1
2.45,2005,2,2
2.51,2013,3,1
2.34,2018,3,2
2.56,2015,3,2
2.63,1998,3,1
3.29,1975,3,1
3.1,1969,4,1
2.98,1981,3,1
2.93,1965,2,2
3.15,1980,3,2
3.29,1970,1,2
2.61,2015,2,1
2.54,1982,4,2
3.01,1961,3,1
3.09,1974,4,1
3.07,1961,4,2
3.22,1961,4,2
3.12,1969,3,2
3.02,1980,1,1
2.48,1994,2,1
2.81,1971,4,2
2.94,1965,4,1
2.57,1999,3,2
2.81,1964,4,2
2.56,2001,4,2
3.17,1979,3,1
2.91,1975,4,2
3.24,1963,4,2
2.71,2007,4,2
